比赛名称,类别,含金量评级,含金量分,报名时间,比赛时间,结果公布时间,奖金,证书,主办单位,官方链接,金融数学/金融就业适配,金融路线价值评分,商赛简历适配,商赛价值评分,数学建模适配,数学建模能力评分,数据分析/量化/风控/投研适配,数据分析量化评分,推荐参加优先级,推荐理由,信息来源,来源页面,更新时间
全国大学生数学建模竞赛,数学建模类,,,每年春季至暑期关注学校通知,通常每年9月,通常赛后数月公示,,国家级/赛区级获奖证书,中国工业与应用数学学会,https://www.mcm.edu.cn/index.moma,,,,,,,,,,,种子数据,https://www.mcm.edu.cn/index.moma,
MCM/ICM 美国大学生数学建模竞赛,数学建模类,,,通常每年秋季至冬季报名,通常每年2月,通常每年春季公布,,国际竞赛证书,COMAP,https://www.comap.com/contests/mcm-icm,,,,,,,,,,,种子数据,https://www.comap.com/contests/mcm-icm,
全国大学生统计建模大赛,数据分析 / 统计建模类,,,以年度通知为准,以年度通知为准,以年度通知为准,,获奖证书,中国统计教育学会,,,,,,,,,,,,种子数据,,
正大杯全国大学生市场调查与分析大赛,商业案例分析类,,,以年度通知为准,以年度通知为准,以年度通知为准,,获奖证书,中国商业统计学会,http://www.china-cssc.org/,,,,,,,,,,,种子数据,http://www.china-cssc.org/,
中国国际大学生创新大赛,创新创业类,,,通常每年4月至6月启动,通常每年4月至10月,以年度通知为准,部分赛道有奖金/扶持资源,获奖证书,教育部等部门,https://cy.ncss.cn/,,,,,,,,,,,种子数据,https://cy.ncss.cn/,
挑战杯全国大学生课外学术科技作品竞赛,创新创业类,,,以年度通知为准,以年度通知为准,以年度通知为准,,获奖证书,共青团中央等单位,https://www.tiaozhanbei.net/,,,,,,,,,,,种子数据,https://www.tiaozhanbei.net/,
挑战杯中国大学生创业计划竞赛,创新创业类,,,以年度通知为准,以年度通知为准,以年度通知为准,,获奖证书,共青团中央等单位,https://www.tiaozhanbei.net/,,,,,,,,,,,种子数据,https://www.tiaozhanbei.net/,
全国大学生电子商务创新创意创业挑战赛,商业案例分析类,,,以年度通知为准,以年度通知为准,以年度通知为准,,获奖证书,教育部高等学校电子商务类专业教学指导委员会,http://www.3chuang.net/,,,,,,,,,,,种子数据,http://www.3chuang.net/,
CCF 大数据与计算智能大赛 BDCI,数据分析 / 统计建模类,,,以年度通知为准,以年度通知为准,以年度通知为准,部分赛题设置奖金,获奖证书,中国计算机学会,https://www.datafountain.cn/competitions,,,,,,,,,,,种子数据,https://www.datafountain.cn/competitions,
中国大学生计算机设计大赛,编程 / 算法 / AI 应用类,,,以年度通知为准,以年度通知为准,以年度通知为准,,获奖证书,中国大学生计算机设计大赛组织委员会,https://jsjds.blcu.edu.cn/,,,,,,,,,,,种子数据,https://jsjds.blcu.edu.cn/,
全国大学生英语竞赛,英语与财经表达类,,,通常每年春季,通常每年春季初赛/决赛,以年度通知为准,,获奖证书,高等学校大学外语教学研究会,https://www.chinaneccs.cn/,,,,,,,,,,,种子数据,https://www.chinaneccs.cn/,
CFA Institute Research Challenge,金融数学 / 金融科技 / 量化 / 风控相关比赛,,,以年度通知为准,以年度通知为准,以年度通知为准,,参赛/获奖证明,CFA Institute,https://www.cfainstitute.org/en/societies/challenge,,,,,,,,,,,种子数据,https://www.cfainstitute.org/en/societies/challenge,
